variant,seed,top1,mrr@5,map@5,ndcg@5,recall@1,recall@5,precision@5,f1@5,coverage,sel_acc@80,micro_precision@1,micro_recall@1,micro_precision@5,micro_recall@5,conf_thr,gap_thr,n_test,avg_steps
multi,53,0.2631578947368421,0.35000000000000003,0.184780701754386,0.23996206950085577,0.14649122807017542,0.24912280701754386,0.11578947368421054,0.15809716599190285,0.6842105263157895,0.38461538461538464,0.2631578947368421,0.0684931506849315,0.11578947368421053,0.1506849315068493,0.04817150063051703,0.0,19.0,3.0
multi,54,0.10526315789473684,0.16228070175438594,0.09342105263157895,0.12188619870914146,0.07017543859649122,0.14254385964912278,0.05263157894736842,0.07687758722649318,0.5789473684210527,0.09090909090909091,0.10526315789473684,0.03076923076923077,0.05263157894736842,0.07692307692307693,0.04839549075403121,0.0,19.0,3.0
multi,55,0.3684210526315789,0.4403508771929825,0.2317105263157895,0.31159920464538693,0.11652046783625732,0.29805954279638486,0.21052631578947367,0.2467602131341001,0.8947368421052632,0.4117647058823529,0.3684210526315789,0.07608695652173914,0.21052631578947367,0.21739130434782608,0.04839549075403121,0.0,19.0,3.0
multi,56,0.10526315789473684,0.23245614035087717,0.10328947368421053,0.16568362737247805,0.01644736842105263,0.18969298245614033,0.12631578947368421,0.15164907410789288,0.3684210526315789,0.14285714285714285,0.10526315789473684,0.02247191011235955,0.12631578947368421,0.1348314606741573,0.04865990111891752,0.0,19.0,3.0
multi,57,0.21052631578947367,0.28421052631578947,0.15359649122807018,0.2179178985749722,0.08508771929824561,0.2736842105263158,0.1368421052631579,0.1824561403508772,0.7368421052631579,0.2857142857142857,0.21052631578947367,0.047058823529411764,0.1368421052631579,0.15294117647058825,0.04839549075403121,0.0,19.0,3.0
multi,58,0.3684210526315789,0.44298245614035087,0.23614035087719296,0.3149902654998054,0.12821637426900584,0.31783625730994153,0.18947368421052635,0.2374154406188382,0.8421052631578947,0.4375,0.3684210526315789,0.1,0.18947368421052632,0.2571428571428571,0.0479384003974168,0.0,19.0,3.0
multi,59,0.47368421052631576,0.5,0.21736842105263163,0.2895929066974868,0.13903508771929823,0.2193609022556391,0.17894736842105266,0.19710389707160778,0.8947368421052632,0.5294117647058824,0.47368421052631576,0.10344827586206896,0.17894736842105263,0.19540229885057472,0.04817150063051703,0.0,19.0,3.0
multi,60,0.42105263157894735,0.5087719298245613,0.19383040935672513,0.28417417197538103,0.07002923976608187,0.19093567251461988,0.23157894736842108,0.20930249499180478,0.7894736842105263,0.4666666666666667,0.42105263157894735,0.07272727272727272,0.23157894736842105,0.2,0.0479384003974168,0.0,19.0,3.0
multi,61,0.3684210526315789,0.47105263157894733,0.2301315789473684,0.3305691824977089,0.09845446950710109,0.3438387635756057,0.23157894736842108,0.2767583180665904,0.8947368421052632,0.4117647058823529,0.3684210526315789,0.08235294117647059,0.23157894736842105,0.25882352941176473,0.04767399003253049,0.0,19.0,3.0
multi,62,0.5263157894736842,0.5964912280701754,0.38282163742690056,0.4466424844516353,0.2801065162907268,0.3944548872180451,0.23157894736842108,0.2918291073728459,0.7368421052631579,0.7142857142857143,0.5263157894736842,0.11904761904761904,0.23157894736842105,0.2619047619047619,0.04814747488101534,0.0,19.0,3.0
multi,63,0.3157894736842105,0.39210526315789473,0.20671052631578946,0.2591142227853827,0.10941938178780285,0.21259398496240603,0.16842105263157894,0.1879469270116584,0.7894736842105263,0.4,0.3157894736842105,0.06060606060606061,0.16842105263157894,0.16161616161616163,0.0479384003974168,0.0,19.0,3.0
multi,64,0.2631578947368421,0.3333333333333333,0.21105263157894735,0.2661732389223138,0.11140350877192982,0.28421052631578947,0.14736842105263157,0.19409499358151472,0.7368421052631579,0.35714285714285715,0.2631578947368421,0.06944444444444445,0.14736842105263157,0.19444444444444445,0.04839549075403121,0.0,19.0,3.0
multi,65,0.42105263157894735,0.4885964912280702,0.26907894736842103,0.34157874984711833,0.18596491228070178,0.31136363636363634,0.18947368421052635,0.23558633866730355,0.7368421052631579,0.5,0.42105263157894735,0.08163265306122448,0.18947368421052632,0.1836734693877551,0.04865990111891752,0.0,19.0,3.0
multi,66,0.42105263157894735,0.5412280701754386,0.2591374269005848,0.35881898411159624,0.12580409356725145,0.33545321637426895,0.2421052631578947,0.28123555312785187,0.7368421052631579,0.5,0.42105263157894735,0.08247422680412371,0.24210526315789474,0.23711340206185566,0.04814747488101534,0.0,19.0,3.0
multi,67,0.15789473684210525,0.2236842105263158,0.10562865497076024,0.14787380519517151,0.021334586466165414,0.1162593984962406,0.12631578947368421,0.1210791410917841,0.6842105263157895,0.23076923076923078,0.15789473684210525,0.031578947368421054,0.12631578947368421,0.12631578947368421,0.04817150063051703,0.0,19.0,3.0
multi,68,0.21052631578947367,0.2605263157894737,0.14802631578947367,0.1841319401845213,0.12426900584795322,0.19757727652464493,0.0736842105263158,0.10733794757914188,0.5789473684210527,0.2727272727272727,0.21052631578947367,0.05063291139240506,0.07368421052631578,0.08860759493670886,0.04839549075403121,0.0,19.0,3.0
multi,69,0.47368421052631576,0.5236842105263158,0.26995614035087717,0.34282399153946896,0.1603801169590643,0.2644736842105263,0.22105263157894742,0.24082156611039798,0.631578947368421,0.75,0.47368421052631576,0.10227272727272728,0.22105263157894736,0.23863636363636365,0.048651507139079855,0.0,19.0,3.0
multi,70,0.2631578947368421,0.3912280701754386,0.1901315789473684,0.2693872020153794,0.10921052631578948,0.25382395382395384,0.18947368421052632,0.21697819047782213,0.8421052631578947,0.25,0.2631578947368421,0.05319148936170213,0.18947368421052632,0.19148936170212766,0.04839549075403121,0.0,19.0,3.0
multi,71,0.3684210526315789,0.46491228070175433,0.22035087719298244,0.2945000491990234,0.13464912280701755,0.25401002506265663,0.15789473684210528,0.19473844330936868,0.8947368421052632,0.4117647058823529,0.3684210526315789,0.0707070707070707,0.15789473684210525,0.15151515151515152,0.0479384003974168,0.0,19.0,3.0
