variant,seed,top1,mrr@5,map@5,ndcg@5,recall@1,recall@5,precision@5,f1@5,coverage,sel_acc@80,micro_precision@1,micro_recall@1,micro_precision@5,micro_recall@5,conf_thr,gap_thr,n_test,gap_detection,n_gap,avg_steps
single,52,0.4,0.475,0.475,0.5061606311644851,0.4,0.6,0.12,0.19999999999999998,0.75,0.4444444444444444,0.3333333333333333,0.4,0.1,0.6,5.135749841151557,0.0,12.0,0.5,2.0,2.0
single,53,0.5714285714285714,0.6071428571428571,0.4880952380952381,0.5441691982610676,0.4047619047619047,0.5952380952380951,0.17142857142857143,0.2661934338952972,0.6666666666666666,0.5,0.3333333333333333,0.36363636363636365,0.1,0.5454545454545454,5.113275333904532,0.0,12.0,0.8,5.0,2.0
single,54,0.5,0.62,0.5700000000000001,0.6261859507142915,0.45,0.75,0.16,0.26373626373626374,0.9166666666666666,0.45454545454545453,0.4166666666666667,0.45454545454545453,0.13333333333333333,0.7272727272727273,3.807161958308986,0.0,12.0,0.0,2.0,2.0
single,55,0.4444444444444444,0.4722222222222222,0.4722222222222222,0.4922973953414881,0.4444444444444444,0.5555555555555556,0.1111111111111111,0.18518518518518515,0.4166666666666667,0.4,0.3333333333333333,0.4,0.08333333333333333,0.5,6.137923819976065,0.0,12.0,0.6666666666666666,3.0,2.0
single,56,0.42857142857142855,0.5,0.42857142857142855,0.4634395637624166,0.35714285714285715,0.5,0.1142857142857143,0.18604651162790697,0.5833333333333334,0.42857142857142855,0.25,0.375,0.06666666666666667,0.5,4.667989800795329,0.0,12.0,0.4,5.0,2.0
single,57,0.25,0.3375,0.2333333333333333,0.29953629882000987,0.10416666666666666,0.3958333333333333,0.125,0.19000000000000003,0.5833333333333334,0.2857142857142857,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.4166666666666667,5.705642030170722,0.0,12.0,0.75,4.0,2.0
single,58,0.625,0.6666666666666666,0.6041666666666666,0.6391433990956823,0.47916666666666663,0.6875,0.2,0.3098591549295775,0.9166666666666666,0.45454545454545453,0.4166666666666667,0.45454545454545453,0.13333333333333333,0.7272727272727273,4.4291952636265695,0.0,12.0,0.25,4.0,2.0
single,59,0.6,0.65,0.6333333333333333,0.6550650542719645,0.5,0.7,0.18,0.2863636363636364,0.9166666666666666,0.5454545454545454,0.5,0.5,0.15,0.75,3.5819204830099527,0.0,12.0,0.0,2.0,2.0
single,60,0.6666666666666666,0.7444444444444445,0.7166666666666667,0.7526339571632314,0.6666666666666666,0.8333333333333334,0.17777777777777778,0.2930402930402931,0.75,0.5555555555555556,0.5,0.6,0.13333333333333333,0.8,3.8995838053467238,0.0,12.0,0.3333333333333333,3.0,2.0
single,61,0.3333333333333333,0.35555555555555557,0.30000000000000004,0.3333333333333333,0.2777777777777778,0.3888888888888889,0.08888888888888889,0.144702842377261,0.5,0.5,0.25,0.3,0.06666666666666667,0.4,6.0833611290644924,0.0,12.0,0.3333333333333333,3.0,2.0
single,62,0.42857142857142855,0.5,0.5,0.5187042505102083,0.35714285714285715,0.5714285714285714,0.14285714285714285,0.2285714285714286,0.5833333333333334,0.2857142857142857,0.25,0.375,0.08333333333333333,0.625,4.366241537838839,0.0,12.0,0.6,5.0,2.0
single,63,0.4,0.4,0.35,0.36131471927654585,0.35,0.35,0.08,0.13023255813953488,0.6666666666666666,0.5,0.3333333333333333,0.3076923076923077,0.06666666666666667,0.3076923076923077,6.1555669707934655,0.0,12.0,0.0,2.0,2.0
single,64,0.5,0.6388888888888888,0.5277777777777778,0.5917750904532743,0.4166666666666667,0.6666666666666666,0.16666666666666666,0.26666666666666666,0.75,0.3333333333333333,0.25,0.3333333333333333,0.08333333333333333,0.5555555555555556,4.246480258200572,0.0,12.0,0.16666666666666666,6.0,2.0
single,65,0.7,0.7,0.65,0.6613147192765458,0.65,0.65,0.14,0.23037974683544304,1.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.11666666666666667,0.5833333333333334,3.3658406483413486,0.0,12.0,0.0,2.0,2.0
single,66,0.2,0.3,0.2,0.24881538926738317,0.1,0.3,0.08,0.12631578947368421,0.5,0.16666666666666666,0.08333333333333333,0.14285714285714285,0.03333333333333333,0.2857142857142857,5.973171835355957,0.0,12.0,0.42857142857142855,7.0,2.0
single,67,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.6269765845238192,0.3333333333333333,0.8333333333333334,0.16666666666666666,0.2777777777777778,0.75,0.2222222222222222,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.8333333333333334,3.986858814407694,0.0,12.0,0.3333333333333333,6.0,2.0
single,68,0.5,0.55,0.5,0.5244076946336916,0.45,0.55,0.12,0.19701492537313434,0.6666666666666666,0.5,0.4166666666666667,0.45454545454545453,0.1,0.5454545454545454,4.792049801774806,0.0,12.0,0.0,2.0,2.0
single,69,0.625,0.7291666666666667,0.7395833333333333,0.7741783004521589,0.625,0.875,0.2,0.32558139534883723,0.9166666666666666,0.45454545454545453,0.4166666666666667,0.5555555555555556,0.13333333333333333,0.8888888888888888,3.943943049774023,0.0,12.0,0.25,4.0,2.0
single,70,0.5714285714285714,0.6428571428571429,0.6428571428571429,0.6615613933673511,0.5714285714285714,0.7142857142857143,0.14285714285714285,0.23809523809523808,1.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.08333333333333333,0.7142857142857143,3.69564326119154,0.0,12.0,0.0,5.0,2.0
single,71,0.42857142857142855,0.4761904761904762,0.4761904761904762,0.5,0.42857142857142855,0.5714285714285714,0.1142857142857143,0.1904761904761905,0.6666666666666666,0.375,0.25,0.42857142857142855,0.06666666666666667,0.5714285714285714,6.378262851988656,0.0,12.0,0.2,5.0,2.0
