variant,seed,top1,mrr@5,map@5,ndcg@5,recall@1,recall@5,precision@5,f1@5,coverage,sel_acc@80,micro_precision@1,micro_recall@1,micro_precision@5,micro_recall@5,conf_thr,gap_thr,n_test,gap_detection,n_gap,avg_steps
agent,55,0.4444444444444444,0.5555555555555556,0.5277777777777778,0.557531395645111,0.4444444444444444,0.6111111111111112,0.13333333333333336,0.21890547263681598,0.6666666666666666,0.375,0.3333333333333333,0.4,0.1,0.6,0.05231648930905472,0.0,12.0,0.0,3.0,7.0
agent,56,0.5714285714285714,0.5714285714285714,0.5,0.5161638846807798,0.5,0.5,0.1142857142857143,0.18604651162790697,0.5,0.3333333333333333,0.3333333333333333,0.5,0.06666666666666667,0.5,0.05667235368296122,0.0,12.0,0.4,5.0,7.166666666666667
agent,57,0.375,0.46875,0.34375,0.4199793663183897,0.16666666666666666,0.5208333333333333,0.175,0.2619760479041916,0.9166666666666666,0.2727272727272727,0.25,0.25,0.11666666666666667,0.5833333333333334,0.04918032786885246,0.0,12.0,0.25,4.0,7.0
agent,58,0.625,0.625,0.5625,0.5766433990956823,0.47916666666666663,0.5625,0.175,0.26694915254237284,0.9166666666666666,0.45454545454545453,0.4166666666666667,0.45454545454545453,0.11666666666666667,0.6363636363636364,0.04918032786885246,0.0,12.0,0.25,4.0,7.0
agent,59,0.6,0.65,0.6083333333333333,0.6427865858057695,0.5,0.7,0.18,0.2863636363636364,0.9166666666666666,0.5454545454545454,0.5,0.5,0.15,0.75,0.04918032786885246,0.0,12.0,0.0,2.0,6.833333333333333
agent,60,0.8888888888888888,0.9444444444444444,0.911111111111111,0.9423638510118013,0.8333333333333334,1.0,0.2222222222222222,0.3636363636363636,0.8333333333333334,0.8,0.6666666666666666,0.8,0.16666666666666666,1.0,0.04918032786885246,0.0,12.0,0.6666666666666666,3.0,7.083333333333333
agent,61,0.4444444444444444,0.48148148148148145,0.4259259259259259,0.4570163547517176,0.3888888888888889,0.5,0.1111111111111111,0.1818181818181818,0.75,0.4444444444444444,0.3333333333333333,0.4,0.08333333333333333,0.5,0.04918032786885246,0.0,12.0,0.0,3.0,7.0
agent,62,0.5714285714285714,0.6428571428571429,0.6428571428571429,0.6615613933673511,0.5,0.7142857142857143,0.17142857142857143,0.2764976958525346,0.8333333333333334,0.4,0.3333333333333333,0.5,0.1,0.75,0.04918032786885246,0.0,12.0,0.4,5.0,6.833333333333333
agent,63,0.4,0.4333333333333334,0.3833333333333333,0.41131471927654584,0.35,0.45,0.1,0.16363636363636364,1.0,0.3333333333333333,0.3333333333333333,0.3076923076923077,0.08333333333333333,0.38461538461538464,0.04918032786885246,0.0,12.0,0.0,2.0,7.083333333333333
agent,64,0.5,0.6666666666666666,0.5972222222222222,0.6562505583256978,0.4166666666666667,0.75,0.20000000000000004,0.31578947368421056,0.5,0.0,0.25,0.3333333333333333,0.1,0.6666666666666666,0.05231648930905471,0.0,12.0,0.3333333333333333,6.0,7.0
agent,65,0.6,0.6900000000000001,0.665,0.7160558421703624,0.6,0.85,0.18,0.29708737864077667,0.9166666666666666,0.5454545454545454,0.5,0.5,0.15,0.75,0.04918032786885246,0.0,12.0,0.0,2.0,7.0
agent,66,0.2,0.26666666666666666,0.16666666666666666,0.22262943855309167,0.1,0.3,0.08,0.12631578947368421,0.9166666666666666,0.09090909090909091,0.08333333333333333,0.14285714285714285,0.03333333333333333,0.2857142857142857,0.04918032786885246,0.0,12.0,0.0,7.0,7.083333333333333
agent,67,0.5,0.75,0.75,0.8154648767857288,0.5,1.0,0.19999999999999998,0.3333333333333333,0.8333333333333334,0.3,0.25,0.5,0.1,1.0,0.04918032786885246,0.0,12.0,0.16666666666666666,6.0,7.166666666666667
agent,68,0.5,0.55,0.5,0.5244076946336916,0.45,0.55,0.12,0.19701492537313434,0.9166666666666666,0.45454545454545453,0.4166666666666667,0.45454545454545453,0.1,0.5454545454545454,0.04918032786885246,0.0,12.0,0.0,2.0,6.833333333333333
agent,69,0.75,0.75,0.71875,0.7346519144172562,0.6875,0.75,0.175,0.2837837837837837,0.8333333333333334,0.6,0.5,0.6666666666666666,0.11666666666666667,0.7777777777777778,0.04918032786885246,0.0,12.0,0.5,4.0,6.833333333333333
agent,70,0.7142857142857143,0.7857142857142857,0.7857142857142857,0.804418536224494,0.7142857142857143,0.8571428571428571,0.17142857142857143,0.2857142857142857,1.0,0.4166666666666667,0.4166666666666667,0.7142857142857143,0.1,0.8571428571428571,0.04423627374447047,0.0,12.0,0.0,5.0,7.0
agent,71,0.42857142857142855,0.5,0.5,0.5187042505102083,0.42857142857142855,0.5714285714285714,0.1142857142857143,0.1904761904761905,0.4166666666666667,0.2,0.25,0.42857142857142855,0.06666666666666667,0.5714285714285714,0.052599281143157706,0.0,12.0,0.8,5.0,6.666666666666667
